,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
0,1,Johnson Glens,Kyle,Smith,20,Head,Single,Male,University Student,None,Christian
1,2,Johnson Glens,Gregory,Davies,26,Head,Single,Male,Theme park manager,None,NA
2,3,Johnson Glens,Ian,Hawkins,66,Head,Widowed,Male,Osteopath,None,None
3,4,Johnson Glens,Kevin,Barton,21,Head,Single,Male,University Student,None,None
4,4,NA,Sophie,Parsons,33,None,Single,Female,Adult nurse,None,None
5,4,Johnson Glens,Pauline,Marsden,36,None,Single,Female,Risk analyst,None,Sikh
6,5,Johnson Glens,Iain,Hutchinson,84,NA,Widowed,Male,Retired Manufacturing engineer,None,Muslim
7,6,Johnson Glens,Jenna,Cox,65,Head,Widowed,Female,Meteorologist,None,Christian
8,7,Johnson Glens,Carly,Barrett,63,Head,Divorced,Female,Theme park manager,None,Christian
9,7,Johnson Glens,Neil,Barrett,31,Son,Divorced,Male,Leisure centre manager,None,None
10,8,Johnson Glens,Tina,Lees,42,Head,Married,Female,Environmental manager,None,Christian
11,8,Johnson Glens,Martin,Lees,51,Husband,Married,m,Paediatric nurse,None,Christian
12,8,Johnson Glens,Katherine,Davis-Lees,17,Daughter,NA,Female,Student,None,NA
13,9,Johnson Glens,Terence,Sanderson,69,Head,Widowed,Male,Retired Contractor,None,Christian
14,9,Johnson Glens,Leigh,Giles-Sanderson,40,Son,Single,Male,Musician,None,Christian
15,9,Johnson Glens,Gavin,Giles-Sanderson,39,Son,Divorced,Male,Ceramics designer,None,Christian
16,10,Johnson Glens,Jill,Leach,58,Head,Married,Female,"Nurse, learning disability",None,None
17,10,Johnson Glens,Brett,Leach,61,Husband,Married,Male,Licensed conveyancer,None,None
18,10,Johnson Glens,Denise,Leach,37,Daughter,Single,Female,Geoscientist,None,None
19,11,Johnson Glens,Jane,Moore,33,Head,Divorced,Female,Occupational hygienist,None,None
20,12,Johnson Glens,Jennifer,Nicholson,67,Head,Married,Female,Astronomer,None,None
21,12,Johnson Glens,Trevor,Nicholson,68,Husband,Married,Male,Retired Phytotherapist,None,None
22,13,Johnson Glens,Matthew,Jordan,69,Head,Widowed,Male,Retired Legal secretary,None,Christian
23,14,Johnson Glens,Olivia,Lawrence,72,Head,Married,Female,Retired Geographical information systems officer,None,Catholic
24,14,Johnson Glens,Paul,Lawrence,71,Husband,Married,Male,Retired Site engineer,None,None
25,15,Johnson Glens,Donald,Gray,42,Head,Married,Male,"Teacher, adult education",None,None
26,15,Johnson Glens,Lisa,Gray,43,Wife,Married,Female,Learning disability nurse,None,None
27,16,Johnson Glens,John,Poole,88,Head,Widowed,Male,Retired Health visitor,None,Methodist
28,17,Johnson Glens,Marie,Frost,27,Head,Married,Female,Sports therapist,None,None
29,17,Johnson Glens,Marc,Frost,29,Husband,Married,Male,Secretary/administrator,None,None
30,17,Johnson Glens,Jasmine,Frost,5,Daughter,NA,Female,Student,None,NA
31,18,Johnson Glens,Hazel,Smith,36,Head,Divorced,Female,"Merchandiser, retail",None,Methodist
32,19,Johnson Glens,Terence,Baker,61,Head,Married,Male,Print production planner,None,Christian
33,19,Johnson Glens,Mary,Baker,62,Wife,Married,Female,Theme park manager,None,Christian
34,20,Johnson Glens,Katy,Thomas,26,Head,Single,Female,Chief Executive Officer,None,Methodist
35,21,Johnson Glens,Victoria,Campbell,40,Head,Divorced,Female,Jewellery designer,None,Christian
36,22,Johnson Glens,Abdul,Henry,80,Head,Widowed,Male,"Retired Therapist, drama",None,None
37,23,Johnson Glens,Craig,Hughes,20,NA,Married,Male,University Student,None,Christian
38,23,Johnson Glens,Karen,Hughes,19,Wife,Married,Female,University Student,None,Christian
39,24,Johnson Glens,Angela,Davies,23,Head,Married,Female,Chief of Staff,None,Catholic
40,24,Johnson Glens,George,Davies,28,Husband,Married,Male,Plant breeder/geneticist,None,Catholic
41,24,Johnson Glens,Heather,Davies,5,Daughter,NA,Female,Student,None,NA
42,NA,Johnson Glens,Chloe,Booth,42,Head,Single,Female,"Nurse, mental health",None,Methodist
43,26,Johnson Glens,Joanna,Wright,71,Head,Divorced,Female,Retired Radio broadcast assistant,None,Christian
44,26,Johnson Glens,Joseph,Wright,45,Son,Single,Male,Research scientist (life sciences),None,None
45,27,Johnson Glens,Elliot,NA,67,Head,Divorced,Male,Secondary school teacher,None,None
46,28,Johnson Glens,Marie,Roberts,73,Head,Widowed,Female,Retired Dance movement psychotherapist,None,Christian
47,29,Johnson Glens,Vincent,Hughes,24,Head,Single,Male,Unemployed,None,None
48,30,Johnson Glens,Diana,Harris,58,Head,Married,Female,"Journalist, newspaper",None,Muslim
49,30,Johnson Glens,William,Harris,57,Husband,Married,Male,Copy,None,Muslim
